Sample	Number of input reads	Average input read length	% Uniquely mapped reads	Average mapped length	% of reads mapped to multiple loci	% of reads mapped to too many loci	% reads unmapped by mismatches	% reads unmapped by length	% reads unmapped by other
ERR11522062_	30000000	196	73.00%	196.24	13.31%	0.40%	0.00%	13.15%	0.15%
ERR11522638_	30000000	193	84.31%	193.42	10.01%	0.32%	0.00%	5.20%	0.16%
ERR11523138_	30000000	197	87.31%	196.68	7.97%	0.36%	0.00%	4.29%	0.07%
ERR11523339_	30000000	195	85.87%	194.92	8.71%	0.28%	0.00%	4.99%	0.15%
ERR11523382_	30000000	195	65.82%	194.76	12.54%	0.39%	0.00%	21.13%	0.13%
ERR11523428_	30000000	196	83.45%	196.11	9.76%	0.28%	0.00%	6.39%	0.12%
ERR11523452_	30000000	191	76.11%	190.36	13.19%	0.43%	0.00%	10.12%	0.15%
ERR11523500_	30000000	192	61.77%	192.23	9.18%	0.26%	0.00%	28.69%	0.10%
ERR11523589_	30000000	196	81.83%	195.92	11.43%	0.28%	0.00%	6.34%	0.12%
ERR11523644_	30000000	192	28.06%	193.19	4.33%	0.10%	0.00%	67.46%	0.05%
ERR11523679_	30000000	194	40.43%	194.49	5.59%	0.14%	0.00%	53.77%	0.07%
ERR11523681_	30000000	194	63.78%	194.72	7.22%	0.12%	0.00%	28.81%	0.07%
ERR11523683_	30000000	191	12.49%	192.42	1.46%	0.05%	0.00%	85.97%	0.03%
ERR11523685_	30000000	194	12.39%	194.42	2.05%	0.03%	0.00%	85.51%	0.03%
ERR11523692_	30000000	193	31.33%	193.90	5.22%	0.11%	0.00%	63.29%	0.06%
ERR11523695_	30000000	193	84.76%	192.86	9.97%	0.34%	0.00%	4.76%	0.17%
ERR11523697_	30000000	196	83.33%	195.77	13.67%	0.41%	0.00%	2.43%	0.16%
ERR11523704_	30000000	194	87.60%	194.12	9.80%	0.28%	0.00%	2.17%	0.15%
ERR11523709_	30000000	196	88.23%	196.19	8.57%	0.26%	0.00%	2.85%	0.09%
ERR11523713_	30000000	196	85.14%	195.66	11.55%	0.22%	0.00%	2.94%	0.14%
ERR11523715_	30000000	195	85.95%	194.85	10.68%	0.32%	0.00%	2.92%	0.14%
ERR11523717_	30000000	194	76.31%	193.78	14.88%	0.28%	0.00%	8.38%	0.15%
ERR11523719_	30000000	196	88.25%	196.11	8.91%	0.25%	0.00%	2.46%	0.13%
ERR11525054_	30000000	197	19.69%	197.14	2.04%	0.05%	0.00%	78.20%	0.02%
ERR11525133_	30000000	196	56.46%	196.16	9.29%	0.19%	0.00%	33.97%	0.08%
ERR11526178_	30000000	197	80.87%	196.50	13.03%	0.24%	0.00%	5.73%	0.13%
ERR11526216_	30000000	197	39.15%	196.93	4.35%	0.13%	0.00%	56.31%	0.06%
ERR11526357_	30000000	197	68.15%	196.67	9.61%	0.18%	0.00%	21.97%	0.09%
ERR11526378_	30000000	195	51.36%	194.92	7.28%	0.18%	0.00%	41.07%	0.11%
ERR11526386_	30000000	194	29.22%	194.36	3.28%	0.10%	0.00%	67.35%	0.05%
ERR11526401_	30000000	196	64.86%	196.46	4.68%	0.13%	0.00%	30.26%	0.07%
ERR11526450_	30000000	196	68.49%	195.86	7.67%	0.22%	0.00%	23.51%	0.11%
ERR11526472_	30000000	195	46.22%	195.89	4.15%	0.12%	0.00%	49.45%	0.06%
ERR11526484_	30000000	192	8.82%	193.41	2.26%	0.02%	0.00%	88.88%	0.02%
ERR11526550_	30000000	196	88.56%	196.05	7.87%	0.19%	0.00%	3.26%	0.12%
ERR11526553_	30000000	196	68.56%	195.82	8.22%	0.22%	0.00%	22.89%	0.11%
ERR11526557_	30000000	197	84.28%	196.81	8.34%	0.21%	0.00%	7.08%	0.10%
ERR11526560_	30000000	197	81.21%	197.22	11.20%	0.23%	0.00%	7.25%	0.10%
ERR11526571_	30000000	196	40.82%	196.12	4.07%	0.12%	0.00%	54.92%	0.07%
ERR11526573_	30000000	195	38.38%	195.48	7.21%	0.18%	0.00%	54.16%	0.07%
ERR11526578_	30000000	196	57.80%	196.63	12.69%	0.16%	0.00%	29.27%	0.08%
ERR11526584_	30000000	195	34.93%	195.25	6.17%	0.11%	0.00%	58.73%	0.06%
ERR11526693_	30000000	196	49.35%	195.91	7.37%	0.16%	0.00%	43.05%	0.07%
ERR11526697_	30000000	194	68.20%	194.04	8.20%	0.20%	0.00%	23.29%	0.11%
ERR11526827_	30000000	197	21.45%	197.18	2.45%	0.07%	0.00%	76.00%	0.04%
ERR11526999_	30000000	196	63.90%	196.17	7.44%	0.19%	0.00%	28.37%	0.10%
ERR11527336_	30000000	195	35.11%	195.67	5.95%	0.10%	0.00%	58.79%	0.05%
ERR11528305_	30000000	195	55.78%	194.39	20.64%	0.76%	0.00%	22.44%	0.38%
ERR11528440_	30000000	196	32.96%	195.33	6.81%	0.33%	0.00%	59.75%	0.16%
ERR11528685_	30000000	191	18.18%	188.51	21.80%	0.72%	0.00%	58.81%	0.49%
ERR11532954_	30000000	195	89.24%	195.37	8.34%	0.27%	0.00%	2.00%	0.15%
ERR11532958_	30000000	194	88.84%	194.16	8.79%	0.27%	0.00%	1.95%	0.14%
ERR11532961_	30000000	196	88.45%	196.01	9.19%	0.29%	0.00%	1.91%	0.16%
ERR11533228_	30000000	194	87.55%	194.18	9.62%	0.27%	0.00%	2.40%	0.16%
ERR11533441_	30000000	196	89.20%	195.73	8.37%	0.25%	0.00%	2.02%	0.16%
ERR11533468_	30000000	191	89.80%	191.17	7.65%	0.27%	0.00%	2.09%	0.19%
ERR11533513_	30000000	196	86.66%	195.70	11.18%	0.33%	0.00%	1.70%	0.13%
ERR11533546_	30000000	195	88.87%	195.34	8.74%	0.27%	0.00%	1.95%	0.17%
ERR11533576_	30000000	192	87.11%	192.65	10.27%	0.35%	0.00%	2.10%	0.17%
ERR11533609_	30000000	197	89.51%	196.60	8.00%	0.19%	0.00%	2.22%	0.08%
ERR11533645_	30000000	195	87.33%	194.79	10.14%	0.32%	0.00%	2.04%	0.17%
ERR11533691_	30000000	193	88.73%	193.08	8.67%	0.28%	0.00%	2.14%	0.19%
ERR11533741_	30000000	194	88.11%	194.34	9.59%	0.31%	0.00%	1.81%	0.18%
ERR11533831_	30000000	196	89.64%	195.51	8.21%	0.22%	0.00%	1.78%	0.14%
ERR11533885_	30000000	195	88.83%	195.37	8.05%	0.27%	0.00%	2.68%	0.17%
ERR11533925_	30000000	196	89.08%	196.05	8.55%	0.25%	0.00%	1.97%	0.16%
ERR11533963_	30000000	195	89.73%	194.96	7.41%	0.25%	0.00%	2.45%	0.16%
ERR11534001_	30000000	195	88.43%	195.05	9.17%	0.24%	0.00%	2.00%	0.16%
ERR11534040_	30000000	196	88.09%	196.38	9.23%	0.29%	0.00%	2.24%	0.15%
ERR11534120_	30000000	191	88.01%	190.74	9.05%	0.29%	0.00%	2.47%	0.18%
